,precision,recall,f1-score,support
0,0.98873215207294,0.9947213568708896,0.991717712017945,11556.0
1,0.9264173703256936,0.8542825361512792,0.8888888888888888,899.0
accuracy,0.9845845042151746,0.9845845042151746,0.9845845042151746,0.9845845042151746
macro avg,0.9575747611993168,0.9245019465110844,0.9403033004534169,12455.0
weighted avg,0.9842342806324925,0.9845845042151746,0.984295543250942,12455.0
