Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
BaggingClassifier,DEFECT,0.780020537477843,0.10765383292479697,0.38577127659574467,0.05938247777835651,0.5091187008881626,0.0491759250862909,47.2
BaggingClassifier,DESIGN,0.7804396257107318,0.016812485120042724,0.9308172748394151,0.025635087945319626,0.8488053501128251,0.015030617766862018,270.3
BaggingClassifier,DOCUMENTATION,0.75,0.4249182927993987,0.3,0.2199887763691481,0.40777777777777774,0.2681056851993519,5.4
BaggingClassifier,IMPLEMENTATION,0.6634417422896741,0.04492243118022407,0.496719298245614,0.06149500562625182,0.5666100916464061,0.04955448804545517,75.7
BaggingClassifier,TEST,0.7,0.4288946459026396,0.15416666666666665,0.109057016210038,0.24666666666666667,0.16619686873390466,8.5
BaggingClassifier,macro avg,0.7347803810956497,0.14934920247286648,0.45349490326948805,0.058261761766629165,0.5157957174183676,0.07590635486675222,407.1
BaggingClassifier,weighted avg,0.7564912705224596,0.028798316195967177,0.7624596521655345,0.018937359987080054,0.7387067579119532,0.020510963435322382,407.1
