Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
SVC,CODE,0.6855293644264233,0.05417300797284935,0.5402380952380953,0.09539966453794865,0.5996555950332321,0.06408348827156912,20.7
SVC,DEFECT,0.4303713606654783,0.14824021982909202,0.5277777777777778,0.12830005981991682,0.46837461300309596,0.1314331797436957,8.2
SVC,DESIGN,0.37293956043956045,0.1525865717415511,0.45,0.18819316317727025,0.40016615737203975,0.15759145033037752,8.0
SVC,DOCUMENTATION,0.11166666666666666,0.12045438663352721,0.35,0.4116363011742823,0.1619047619047619,0.1712521137683959,1.5
SVC,M&T,0.7071428571428571,0.26906751811040147,0.4805555555555555,0.17485051424563094,0.5604417151475976,0.18630481032195897,8.4
SVC,macro avg,0.46152996186819717,0.08419611726861191,0.46971428571428564,0.12710236008088768,0.4381085684921454,0.09055260179472109,46.8
SVC,weighted avg,0.5726420127866909,0.07345260503400167,0.5041165587419056,0.08356927994199478,0.5209494027973642,0.08028586992957629,46.8
