Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
RandomForestClassifier,NO-SATD,0.9804712288348026,0.0012265105065771887,0.9844404917196797,0.0018519646880878538,0.9824505689321293,0.0010297746675470816,5777.8
RandomForestClassifier,SATD,0.7895489703458772,0.019813427977428178,0.7480504825538233,0.01626226508690954,0.76805303798843,0.012742182520056529,449.7
RandomForestClassifier,macro avg,0.88501009959034,0.009950704661178929,0.8662454871367515,0.008021622841243758,0.8752518034602798,0.006865635294191831,6227.5
RandomForestClassifier,weighted avg,0.9666845112212599,0.0018610007296298086,0.9673705337117793,0.0019011978152536867,0.9669686896151379,0.001852150880209166,6227.5
