Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
LGBMClassifier,NO-SATD,0.9777498389560645,0.0013060006274921417,0.9977846077170824,0.0006414483167437497,0.9876651971154882,0.0007754379030603589,5777.8
LGBMClassifier,SATD,0.9614192334321838,0.01086268479850333,0.7082469685721355,0.017548832052668658,0.8155262074583847,0.013120680968902378,449.7
LGBMClassifier,macro avg,0.9695845361941242,0.005608183170683859,0.853015788144609,0.008823455858295946,0.9015957022869365,0.006945165816795455,6227.5
LGBMClassifier,weighted avg,0.9765708782140342,0.00157841069220812,0.9768767020245293,0.0014647842080679806,0.9752349295712447,0.0016603763832357128,6227.5
