,precision,recall,f1-score,support
Non-SATD,0.9498360655737705,0.9526636436013708,0.9512477533526891,57778.0
SATD,0.3676300578034682,0.3535690460306871,0.3604624801632283,4497.0
accuracy,0.9094018466479326,0.9094018466479326,0.9094018466479326,0.9094018466479326
macro avg,0.6587330616886193,0.653116344816029,0.6558551167579587,62275.0
weighted avg,0.9077938268432519,0.9094018466479326,0.9085859890245799,62275.0
