Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
LGBMClassifier,NO-SATD,0.958654531367627,0.0008543281178303411,0.9971868872780727,0.00033448467085599566,0.9775408720972791,0.0003812319203221312,12690.6
LGBMClassifier,SATD,0.8148658759864326,0.014874293450385368,0.22339140760193393,0.01691358761688279,0.3503443976960937,0.02114720843385476,702.8
LGBMClassifier,macro avg,0.8867602036770297,0.007501351098484196,0.6102891474400034,0.008365694878351747,0.6639426348966865,0.010755684029305223,13393.4
LGBMClassifier,weighted avg,0.9511095066416393,0.001190550922365574,0.956583081958051,0.0007574354528620078,0.9446296575171573,0.0014571188735131647,13393.4
