Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
ExtraTreesClassifier,NO-SATD,0.9616213834637664,0.0008618540980432737,0.9974390487503818,0.0005360409039539045,0.9792024849235311,0.00044597318983385627,12690.6
ExtraTreesClassifier,SATD,0.8594040614099876,0.02382426634212606,0.2811586890534259,0.017003047895533425,0.4233805178397464,0.01939918280879841,702.8
ExtraTreesClassifier,macro avg,0.910512722436877,0.011905305234409977,0.6392988689019038,0.008425881722929423,0.7012915013816388,0.009901101269188719,13393.4
ExtraTreesClassifier,weighted avg,0.9562581029682192,0.0014668870602011883,0.9598533461743319,0.0008736164912470954,0.9500366811861841,0.0014038179664544051,13393.4
