Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
BaggingClassifier,NO-SATD,0.9614926268348807,0.0007642479747392575,0.9965328624946516,0.0006889825427963192,0.9786989067896362,0.00045089440445134456,12690.6
BaggingClassifier,SATD,0.8177824044870239,0.02766603181608174,0.27931048457364244,0.015036768127460074,0.41610867787042183,0.01710747424947647,702.8
BaggingClassifier,macro avg,0.8896375156609523,0.013841192628265567,0.637921673534147,0.007435001835910137,0.697403792330029,0.008739979918744345,13393.4
BaggingClassifier,weighted avg,0.9539519254792257,0.0016250548521886624,0.9588976509082585,0.0008745250236874453,0.9491778440512512,0.0012686982476289637,13393.4
