,precision,recall,f1-score,support
0,0.7434666666666667,0.9914651493598862,0.8497409326424871,1406.0
1,0.9871931696905016,0.6578947368421053,0.7895860008536065,1406.0
accuracy,0.8246799431009957,0.8246799431009957,0.8246799431009957,0.8246799431009957
macro avg,0.8653299181785842,0.8246799431009957,0.8196634667480468,2812.0
weighted avg,0.8653299181785842,0.8246799431009957,0.8196634667480467,2812.0
