,precision,recall,f1-score,support
0,0.9901508637536153,0.9981482211102793,0.9941334589047816,25381.0
1,0.9608659450457951,0.8207681365576103,0.8853087840429612,1406.0
accuracy,0.9888378691156158,0.9888378691156158,0.9888378691156158,0.9888378691156158
macro avg,0.9755084043997052,0.9094581788339449,0.9397211214738714,26787.0
weighted avg,0.9886137526286967,0.9888378691156158,0.9884214533477681,26787.0
