,precision,recall,f1-score,support
0,0.9642058165548099,0.9577777777777777,0.9609810479375697,900.0
1,0.958011049723757,0.96440489432703,0.9611973392461197,899.0
accuracy,0.9610894941634242,0.9610894941634242,0.9610894941634242,0.9610894941634242
macro avg,0.9611084331392834,0.9610913360524038,0.9610891935918446,1799.0
weighted avg,0.9611101548643616,0.9610894941634242,0.9610891334775288,1799.0
