,precision,recall,f1-score,support
Non-SATD,0.9385653293354627,0.996850012115338,0.9668300543879675,57778.0
SATD,0.7997799779977998,0.16166333110962863,0.26896041435442103,4497.0
accuracy,0.9365395423524688,0.9365395423524688,0.9365395423524688,0.9365395423524688
macro avg,0.8691726536666312,0.5792566716124833,0.6178952343711943,62275.0
weighted avg,0.9285433666704209,0.9365395423524688,0.9164355177162556,62275.0
