Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
BaggingClassifier,NO-SATD,0.8752008353191986,0.009265194397294355,0.9339781076623183,0.011425339325050275,0.9035681203403596,0.006264999866575357,702.8
BaggingClassifier,SATD,0.9293789014731573,0.0111506911856935,0.8666741640425851,0.011910165320380296,0.8968434031603175,0.006794156337360799,702.8
BaggingClassifier,macro avg,0.902289868396178,0.006543005265436977,0.9003261358524517,0.00645089927357873,0.9002057617503386,0.006455630958451824,1405.6
BaggingClassifier,weighted avg,0.9022886175441119,0.0065452933802851955,0.9003277767372166,0.006446344370376575,0.900205970329622,0.006455173095231639,1405.6
