Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
RandomForestClassifier,NO-SATD,0.8807708420344044,0.013136425862221069,0.9379624563835091,0.00846054242263232,0.9083989627250816,0.007600201530192435,702.8
RandomForestClassifier,SATD,0.9337149294359242,0.008358108944899828,0.8727934412144938,0.016093000665574307,0.9021373482531759,0.009192476855842865,702.8
RandomForestClassifier,macro avg,0.9072428857351642,0.007824365022983323,0.9053779487990015,0.008321662641484855,0.9052681554891286,0.008360067100366741,1405.6
RandomForestClassifier,weighted avg,0.9072412559578785,0.007826997979331701,0.9053800438385566,0.008317721424497876,0.9052684002851412,0.00835974671462062,1405.6
