,precision,recall,f1-score,support
0,0.8430410790925812,0.9779516358463727,0.9054988475469213,1406.0
1,0.9737510584250635,0.817923186344239,0.889060688055663,1406.0
accuracy,0.8979374110953058,0.8979374110953058,0.8979374110953058,0.8979374110953058
macro avg,0.9083960687588224,0.8979374110953058,0.8972797678012921,2812.0
weighted avg,0.9083960687588223,0.8979374110953058,0.8972797678012921,2812.0
