,precision,recall,f1-score,support
0,0.9786582773573675,0.9960193838698511,0.9872625123300596,11556.0
1,0.9337175792507204,0.7208008898776418,0.8135593220338984,899.0
accuracy,0.9761541549578483,0.9761541549578483,0.9761541549578483,0.9761541549578483
macro avg,0.956187928304044,0.8584101368737465,0.900410917181979,12455.0
weighted avg,0.9754144646236962,0.9761541549578483,0.9747246425527615,12455.0
