,precision,recall,f1-score,support
0,0.8452722063037249,0.9833333333333333,0.9090909090909091,900.0
1,0.9800531914893617,0.8197997775305895,0.8927922471229558,899.0
accuracy,0.9016120066703724,0.9016120066703724,0.9016120066703724,0.9016120066703724
macro avg,0.9126626988965433,0.9015665554319614,0.9009415781069324,1799.0
weighted avg,0.9126252389228952,0.9016120066703724,0.9009461080296584,1799.0
