,precision,recall,f1-score,support
Code,0.19230769230769232,0.024154589371980676,0.04291845493562232,207.0
M&T,0.85,0.40476190476190477,0.5483870967741935,84.0
Defect,0.28125,0.21951219512195122,0.2465753424657534,82.0
Design,0.038461538461538464,0.0125,0.018867924528301886,80.0
Documentation,0.0,0.0,0.0,15.0
micro avg,0.36024844720496896,0.12393162393162394,0.18441971383147854,468.0
macro avg,0.27240384615384616,0.13218573785116733,0.1713497637407742,468.0
weighted avg,0.2934767422748192,0.12393162393162394,0.16384027424179917,468.0
