Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
XGBClassifier,NO-SATD,0.8953924538623272,0.014269211157129905,0.9361776787923782,0.012331473414563716,0.9152343395568376,0.009035029567478182,449.7
XGBClassifier,SATD,0.9332712096262551,0.011793121135642232,0.8903711952487008,0.016808150500053628,0.9112018226586533,0.009996746900227057,449.7
XGBClassifier,macro avg,0.9143318317442912,0.009237027339616472,0.9132744370205395,0.009447226458205383,0.9132180811077454,0.00946718934932415,899.4
XGBClassifier,weighted avg,0.9143313452834081,0.00923521346283993,0.913275120504264,0.009449046773295323,0.913218184081219,0.009467368593780315,899.4
