Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
RandomForestClassifier,NO-SATD,0.9029671601300595,0.012118293587059726,0.9332892848304875,0.009544685504087014,0.9177957313521423,0.006057989740425195,449.7
RandomForestClassifier,SATD,0.9310772293290717,0.008743859046628109,0.8994852759218015,0.014355682901556312,0.9149143086130243,0.0069974692887993795,449.7
RandomForestClassifier,macro avg,0.9170221947295657,0.006234479504184601,0.9163872803761445,0.006467540224454346,0.9163550199825833,0.006478100784045431,899.4
RandomForestClassifier,weighted avg,0.9170216823037775,0.006237792558836767,0.9163880855271289,0.0064628414151570186,0.9163551722956982,0.006477686334412165,899.4
