Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Support_Mean
ExtraTreesClassifier,NO-SATD,0.9089029008190359,0.01373638372749479,0.9290650829002722,0.013100579633931854,0.9187547924215085,0.0077273744687699295,449.7
ExtraTreesClassifier,SATD,0.9276377590492555,0.01200623575722806,0.9065988616679039,0.016077668314933135,0.9168654158455185,0.008329993292172422,449.7
ExtraTreesClassifier,macro avg,0.9182703299341457,0.007833997774461884,0.9178319722840881,0.0079598348710958,0.9178101041335136,0.007963827816841339,899.4
ExtraTreesClassifier,weighted avg,0.9182700355877598,0.007837388344953018,0.9178325299715734,0.00795490230276996,0.9178102429998299,0.007963391752952131,899.4
