,precision,recall,f1-score,support
0,0.9475118527644006,1.0,0.9730486121760467,25381.0
1,0.0,0.0,0.0,1406.0
accuracy,0.9475118527644006,0.9475118527644006,0.9475118527644006,0.9475118527644006
macro avg,0.4737559263822003,0.5,0.48652430608802333,26787.0
weighted avg,0.8977787111290272,0.9475118527644006,0.9219750933527547,26787.0
